Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats
2023-05-12 13:10:44.732000,SPXW_051223C4120,Cblast#2108,cb_challenge,0,option,BTO,1.9,1,2.15,,,,1.0,0.9,0.85,0.9,0.85,-52.6315789473684,-60.4651162790698,-100.0,-130.0,2023-05-12 15:34:12.706000,,"max:90.7% min:-81.4%|TS:0.2,-9.3%,$1.95,in 00:04:54| TS:0.3,32.56%,$2.85,in 00:16:14| TS:0.4,2.33%,$2.2,in 00:24:08| TS:0.5,-4.65%,$2.05,in 00:26:09"
2023-05-12 13:28:59.396000,SPXW_051223C4130,AVI#9896,analyst-alerts,0,option,BTO,1.15,1,1.25,,,,1.0,0.35,0.3,0.35,0.3,-69.5652173913043,-76.0,-80.0,-95.0,2023-05-12 14:00:33.799000,,"max:16.0% min:-76.0%|TS:0.2,-20.0%,$1.0,in 00:01:15| TS:0.3,-20.0%,$1.0,in 00:03:29| TS:0.4,-32.0%,$0.85,in 00:06:55| TS:0.5,-44.0%,$0.7,in 00:07:55"
2023-05-12 14:25:26.906000,SPY_051523C410,EnhancedMarket™#6078,analyst-alerts,0,option,BTO,1.4,10,1.4,,,,10.0,1.872,1.822,1.7/2.06/2.02,1.65/2.01/1.97,33.7142857142857,30.1428571428571,472.0,422.0,2023-05-12 15:48:41.637000,,max:48.57% min:-8.57%|
2023-05-12 14:33:42.912000,QQQ_051223C324,Cedar#9754,analyst-alerts,0,option,BTO,0.17,29,0.2,,,,29.0,0.33,0.28,0.33,0.28,94.1176470588235,40.0,464.0,232.0,2023-05-12 15:28:32.535000,,"max:85.0% min:-25.0%|TS:0.2,0.0%,$0.2,in 00:01:52| TS:0.3,-15.0%,$0.17,in 00:07:02| TS:0.4,-25.0%,$0.15,in 00:07:22"
2023-05-12 14:37:56.452000,SPY_051223C410,Cedar#9754,analyst-alerts,0,option,BTO,0.34,15,0.38,,,,15.0,0.62,0.52,0.62,0.52,82.3529411764706,36.8421052631579,420.0,210.0,2023-05-12 15:28:47.762000,,"max:73.68% min:-31.58%|TS:0.2,-21.05%,$0.3,in 00:02:44| TS:0.3,-31.58%,$0.26,in 00:03:09"
2023-05-12 14:49:37.176000,SPX,EnhancedMarket™#6078,analyst-alerts,0,stock,BTO,2.4,8,,,,,8.0,3.3625,,3.2/3.6/4.1,,40.1041666666667,,7.70000000000001,,2023-05-12 15:09:06.193000,,
2023-05-12 14:56:21.738000,M_081823C18,AVI#9896,avi_25k_2_100k,1,option,BTO,0.68,5,0.68,,,,,,,,,,,,,,,
2023-05-12 15:01:53.705000,HD_052623C302.5,AVI#9896,avi_25k_2_100k,1,option,BTO,3.1,2,3.25,,,,,,,,,,,,,,,
2023-05-12 15:12:29.974000,SPXW_051223C4110,EnhancedMarket™#6078,analyst-alerts,0,option,BTO,2.4,8,3.9,,,,8.0,3.3625,3.6625,3.2/3.6/4.1,3.7/3.6/3.5,40.1041666666667,-6.08974358974357,770.000000000001,-190.0,2023-05-12 15:13:04.904000,,max:0.0% min:-15.38%|
2023-05-15 08:54:26.203000,TSM,skowih#0999,analyst-alerts,1,stock,BTO,83.54,30,82.5,,,,,,,,,,,,,,,
