Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats,STC-xQty
2023-06-12 09:32:46.402000,GS_061623C345,evapanda,analyst-alerts,0,option,BTO,1.36,1,,,,,1.0,1.58,,1.58,,16.1764705882353,,22.0,,2023-06-12 09:44:25.047000,,,
2023-06-12 09:34:07.836000,AAPL_061623C182.5,enhancedmarket,analyst-alerts,0,option,BTO,1.65,10,,,,,10.0,2.11,,2.08/2.38,,27.8787878787879,,460.0,,2023-06-12 15:16:11.876000,,"| min,0.0%,$1.65,in 06:25:51| max,0.0%,$1.65,in 06:25:51| | ",
2023-06-12 09:39:32.556000,AHI,oogwayta,analyst-alerts,0,stock,BTO,2.78,150,,,,,150.0,3.07,,3.07,,10.431654676259,,43.5,,2023-06-12 09:41:58.532000,2.59,,
2023-06-12 09:45:38.691000,MRVL_062323C62.5,ghost878.,analyst-alerts,0,option,BTO,1.77,3,,,,,3.0,2.03333333333333,,1.9/1.96/2.24,,14.8775894538606,,79.0,,2023-06-13 09:34:28.731000,,"| min,0.0%,$1.77,in 06:14:20| max,12.99%,$2.0,in 1 days 00:02:01| | ",
2023-06-12 09:53:23.917000,BABA_061623C87,enhancedmarket,analyst-alerts,0,option,BTO,1.6,10,,,,,10.0,1.74,,1.6/2.3,,8.74999999999998,,140.0,,2023-06-13 11:14:40.271000,,"| min,-9.38%,$1.45,in 06:06:35| max,86.88%,$2.99,in 23:56:14| | TS:0.2,66.87%,$2.67,in 23:59:35| TS:0.3,56.25%,$2.5,in 1 days 00:00:04| TS:0.4,45.62%,$2.33,in 1 days 00:09:15| TS:0.5,36.25%,$2.18,in 1 days 00:12:45",
2023-06-12 09:53:58.480000,MCOM,oogwayta,analyst-alerts,0,stock,BTO,0.45,900,,,,,900.0,0.484444444444444,,0.48/0.49,,7.65432098765432,,31.0,,2023-06-12 09:59:01.413000,,,
2023-06-12 10:02:38.604000,SPY_061223C431,dcruz,analyst-alerts,0,option,BTO,0.75,15,,,,,15.0,0.8,,0.8,,6.66666666666667,,75.0000000000001,,2023-06-12 12:41:33.952000,,,
2023-06-12 11:00:13.112000,SPXW_061223C4320,ghost878.,analyst-alerts,0,option,BTO,2.0,2,,,,,2.0,2.35,,2.35,,17.5,,70.0,,2023-06-12 11:02:46.217000,,,
2023-06-12 11:09:43.019000,KO_061623P60,tradewithnando,analyst-alerts,0,option,BTO,0.52,5,,,,,5.0,0.21,0.2,0.21,0.2,-59.6153846153846,,-155.0,,2023-06-13 13:13:36.403000,,"| min,-59.62%,$0.21,in 1 days 01:54:21| max,0.0%,$0.52,in 04:50:16| | TS:0.2,-21.15%,$0.41,in 22:37:57| TS:0.3,-32.69%,$0.35,in 22:45:34| TS:0.4,-40.38%,$0.31,in 23:50:04| TS:0.5,-51.92%,$0.25,in 1 days 00:03:56",
2023-06-12 11:59:04.211000,AAPL_061623C182.5,dcruz,analyst-alerts,0,option,BTO,1.75,8,,,,,8.0,2.1425,,2.08/2.15/2.37,,22.4285714285714,,314.0,,2023-06-12 15:17:03.182000,,"| min,0.0%,$1.75,in 04:00:55| max,0.0%,$1.75,in 04:00:55| | ",
